SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
1,M.B.B.S.,Andaman Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Pondicherry University,Govt.,2015,114
2,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,5
3,MD/MS - Anatomy,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,2
4,MD - Respiratory Medicine,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,3
5,MS - General Surgery,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,26
6,MD - Paediatrics,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,12
7,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,7
8,MD - Paediatrics,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,4
9,MD - Bio-Chemistry,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,2
10,MD - Bio-Chemistry,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,3
11,MD - Radio Diagnosis,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,4
12,MD - Bio-Chemistry,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,10
13,MS - General Surgery,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,Govt.,2014,5
14,MS - Orthopaedics,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,3
15,MD - Psychiatry,Andhra Pradesh,"Great Eastern Medical School and Hospital,Srikakulam",Dr. YSR University of Health Sciences,Trust,2010,2
16,MD - Forensic Medicine/Forensic Medicine & Toxicology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,2
17,M.B.B.S.,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,250
18,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,37
19,MS - Orthopaedics,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,Govt.,2014,4
20,MD - General Medicine,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,4
21,M.Ch - Neuro Surgery,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,Govt.,2000,4
22,MD - General Medicine,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,Govt.,2014,17
23,MD - Psychiatry,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,27
24,MS - Orthopaedics,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,7
25,MS - General Surgery,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,6
26,MD - Psychiatry,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Dr. YSR University of Health Sciences,Society,2016,2
27,MD - Paediatrics,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,15
28,MD- Anaesthesia,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,21
29,M.B.B.S.,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,250
30,MD - Physiology,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Dr. YSR University of Health Sciences,Society,2016,2
31,M.B.B.S.,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,240
32,DM - Medical Gastroenterology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,3
33,M.Ch Cardiothoracic Surgery,Andhra Pradesh,"NRI Medical College, Guntur",Dr. YSR University of Health Sciences,Trust,2003,1
34,MD/MS - Anatomy,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,5
35,MD - Respiratory Medicine,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,7
36,DM - Endocrinology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,5
37,MD - Forensic Medicine/Forensic Medicine & Toxicology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,5
38,MD - Social & Preventive Medicine / Community Medicine,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,10
39,MD - Anatomy,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,1
40,MD - Bio-Chemistry,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,3
41,MS - Otorhinolaryngology,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,3
42,MD - Forensic Medicine/Forensic Medicine & Toxicology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,6
43,MS - General Surgery,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,26
44,MD - Physiology,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,1
45,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,7
46,DM-Medical Oncology,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,2
47,MD - Radio Diagnosis/Radiology,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,12
48,M.B.B.S.,Andhra Pradesh,"Santhiram Medical College, Nandyal",Dr. YSR University of Health Sciences,Trust,2005,150
49,MD - Community Medicine,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,2
50,MS - ENT,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,6
51,MD/MS - Ophthalmology,Andhra Pradesh,"NRI Medical College, Guntur",Dr. YSR University of Health Sciences,Trust,2003,6
52,DM - Nephrology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,4
53,MD - Anaesthesiology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,14
54,MD - Emergency Medicine,Andhra Pradesh,"Great Eastern Medical School and Hospital,Srikakulam",Dr. YSR University of Health Sciences,Trust,2010,4
55,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,6
56,MD - Emergency Medicine,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,4
57,MD - Microbiology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,10
58,MD - Paediatrics,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,15
59,MD - General Medicine,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,29
60,MD - Psychiatry,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,2
61,MS - General Surgery,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,20
62,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,3
63,MS - General Surgery,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,18
64,MD - Pathology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,8
65,MD - Microbiology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,6
66,MD - Physiology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,12
67,MS - Orthopaedics,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,13
68,M.Ch - Paediatric Surgery,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,6
69,MD - Anaesthesiology,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,6
70,DM - Neurology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,4
71,M.B.B.S.,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,250
72,M.B.B.S.,Andhra Pradesh,"P E S Institute Of Medical Sciences and Research, Kuppam",Dr. YSR University of Health Sciences,Trust,2001,150
73,M.B.B.S.,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,250
74,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,Govt.,2000,4
75,M.B.B.S.,Andhra Pradesh,"Katuri Medical College, Guntur",Dr. YSR University of Health Sciences,Trust,2002,150
76,M.B.B.S.,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,175
77,MS - Orthopaedics,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,4
78,DM - Cardiology,Andhra Pradesh,"GSL Medical College, Rajahmundry",Dr. YSR University of Health Sciences,Trust,2002,3
79,MD - Radio Diagnosis/Radiology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,4
80,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,18
81,MD - Pharmacology,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,2
82,MD/MS - Ophthalmology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,13
83,MS - Ophthalmology,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,Govt.,2000,3
84,MD - Pathology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,14
85,M.B.B.S.,Andhra Pradesh,"Dr. P.S.I. Medical College , Chinoutpalli",Dr. YSR University of Health Sciences,Trust,2002,150
86,DM - Cardiology,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,4
87,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,9
88,MD - Physiology,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,1
89,MD - General Medicine,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,29
90,MS - Orthopaedics,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,12
91,MD - Pathology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,14
92,MD - Respiratory Medicine,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,2
93,MS - Orthopaedics,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,11
94,MD - Pharmacology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,10
95,M.B.B.S.,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,250
96,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,6
97,M.Ch - Neuro Surgery,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,3
98,MS - Orthopaedics,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,13
99,MD - Paediatrics,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,12
100,MD - Social & Preventive Medicine / Community Medicine,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,4
101,MD - Microbiology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,9
102,M.B.B.S.,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,250
103,MD - Anaesthesiology,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,22
104,MD - General Medicine,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,6
105,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,4
106,MD - Anaesthesiology,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,6
107,MD - Paediatrics,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,10
108,MD - Respiratory Medicine,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Dr. YSR University of Health Sciences,Society,2016,2
109,MS - General Surgery,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,20
110,M.B.B.S.,Andhra Pradesh,"Government Medical College, Machilipatnam",Dr. YSR University of Health Sciences,Govt.,2023,150
111,MD - Radio Diagnosis,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,2
112,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,18
113,MD - Radio Diagnosis,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,3
114,M.Ch - Surgical Oncology,Andhra Pradesh,"GSL Medical College, Rajahmundry",Dr. YSR University of Health Sciences,Trust,2002,6
115,MD - Social & Preventive Medicine / Community Medicine,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,12
116,M.B.B.S.,Andhra Pradesh,"Maharajah Institute of Medical Sciences, Vizianagaram",Dr. YSR University of Health Sciences,Trust,2002,200
117,MD - Forensic Medicine/Forensic Medicine & Toxicology,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,2
118,MD - Radiotherapy/ Radiation Oncology,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,7
119,MD - Pharmacology,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,4
120,MD/MS - Ophthalmology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,9
121,MD - Pharmacology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,10
122,MD - Microbiology,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,4
123,MD - Social & Preventive Medicine / Community Medicine,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,7
124,MD - Radio Diagnosis/Radiology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,7
125,MD - Social & Preventive Medicine / Community Medicine,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,5
126,MD/MS - Anatomy,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,3
127,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,3
128,MD - Paediatrics,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,22
129,MD - Pathology,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,3
130,MS - ENT,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,6
131,MS - ENT,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,8
132,MD - Psychiatry,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,2
133,MD/MS - Ophthalmology,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,8
134,MD - Community Medicine,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,3
135,MS - Orthopaedics,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Dr. YSR University of Health Sciences,Society,2016,2
136,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,5
137,MD - Social & Preventive Medicine / Community Medicine,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,3
138,MD - Bio-Chemistry,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,2
139,MD - General Medicine,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,14
140,MD - Radio Diagnosis/Radiology,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,9
141,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,15
142,MS - ENT,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,8
143,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,6
144,MD - Pharmacology,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,2
145,DM - Neurology,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,3
146,M.Ch - Thoracic Surgery/Cardio Thoracic Surgery/Cardio Vascular and thoracic Surgery,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,4
147,DM - Endocrinology,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,2
148,MS - General Surgery,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,3
149,MD - Community Medicine,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,2
150,MD - General Medicine,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,12
151,MS - Obstetrics and Gynaecology,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,3
152,MS - ENT,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,3
153,MS - Orthopaedics,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,15
154,M.B.B.S.,Andhra Pradesh,"GSL Medical College, Rajahmundry",Dr. YSR University of Health Sciences,Trust,2002,250
155,MD - Psychiatry,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,5
156,MD/MS - Anatomy,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,3
157,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,3
158,MS - Orthopaedics,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,10
159,MD - Anaesthesiology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,15
160,M.B.B.S.,Andhra Pradesh,"NRI Medical College, Guntur",Dr. YSR University of Health Sciences,Trust,2003,200
161,MD - Anaesthesiology,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Dr. YSR University of Health Sciences,Society,2016,3
162,MD - Physiology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,2
163,MD - Forensic Medicine/Forensic Medicine & Toxicology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,10
164,DM - Neurology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,5
165,DM - Cardiology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,8
166,MD - Paediatrics,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,4
167,MS - Orthopaedics,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,15
168,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,20
169,MD - Anaesthesiology,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,14
170,MD - Radio Diagnosis/Radiology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,7
171,MD - Microbiology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,10
172,MS - ENT,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,8
173,M.Ch - Paediatric Surgery,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,2
174,MD - Radio Diagnosis/Radiology,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,18
175,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,4
176,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,15
177,MD - General Medicine,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,20
178,MD/MS - Ophthalmology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,10
179,MS - ENT,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,13
180,M.Ch - Neuro Surgery,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,2
181,MS - Orthopaedics,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,4
182,MD - Physiology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,4
183,MD - Bio-Chemistry,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,4
184,MD - Pathology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,11
185,MD - General Medicine,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,26
186,M.Ch. - Head and Neck Surgery,Andhra Pradesh,"Homi Bhabha Cancer Hospital and Research Centre, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,2023,2
