SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
8001,DM - Medical Gastroenterology,Telangana,"Gandhi Medical College, Secunderabad",Dr. YSR University of Health Sciences,Govt.,1954,5
8002,"MD - Dermatology , Venereology & Leprosy",Telangana,"Mamata Academy of Medical Sciences, Bachupally","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,3
8003,MS - Obstetrics & Gynaecology,Telangana,"S V S Medical College, Mehboobnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,8
8004,"MD - Dermatology , Venereology & Leprosy",Telangana,"Kakatiya Medical College, Warangal","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1959,4
8005,MD - Social & Preventive Medicine / Community Medicine,Telangana,"Gandhi Medical College, Secunderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1954,3
8006,MD - Paediatrics,Telangana,"Mamata Academy of Medical Sciences, Bachupally","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,8
8007,M.Ch - Plastic Surgery/Plastic & Reconstructive Surgery,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,8
8008,MS - Orthopaedics,Telangana,"Gandhi Medical College, Secunderabad",Dr. YSR University of Health Sciences,Govt.,1954,13
8009,MD - Radio Diagnosis,Telangana,"Mamata Academy of Medical Sciences, Bachupally","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,7
8010,MS - Orthopaedics,Telangana,"Nizams Institute of Medical Sciences, Hyderabad","Deemed University, Andhra Pradesh",Govt.,,9
8011,MD - Microbiology,Telangana,"Government Medical College, Mahabubnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2016,3
8012,Diploma in Ophthalmology,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,7
8013,MD/MS - Anatomy,Telangana,"Gandhi Medical College, Secunderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1954,4
8014,M.B.B.S.,Telangana,"Chalmeda Anand Rao Insttitute Of Medical Sciences, Karimnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,2003,200
8015,MD/MS - Anatomy,Telangana,"Mamata Medical College, Khammam","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1998,3
8016,MD - Community Medicine,Telangana,"Dr. VRK Womens Medical College, Aziznagar",Dr. YSR University of Health Sciences,Trust,2010,2
8017,M.B.B.S.,Telangana,"S V S Medical College, Mehboobnagar",Dr. YSR University of Health Sciences,Trust,1999,150
8018,MS - Obstetrics & Gynaecology,Telangana,"Mamata Academy of Medical Sciences, Bachupally","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,9
8019,MS - Orthopaedics,Telangana,"Mamata Academy of Medical Sciences, Bachupally","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,9
8020,MS - General Surgery,Telangana,"Mamata Academy of Medical Sciences, Bachupally","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,15
8021,MD - Bio-Chemistry,Telangana,"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2016,3
8022,MD - General Medicine,Telangana,"Mamata Academy of Medical Sciences, Bachupally","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,15
8023,MD - Anaesthesiology,Telangana,"Mamata Academy of Medical Sciences, Bachupally","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,10
8024,MD - Anaesthesiology,Telangana,"Mahavir Institute of Medical Sciences, Vikarabad, Telengana",Dr. YSR University of Health Sciences,Trust,2016,2
8025,MD - Paediatrics,Telangana,"Government Medical College, Siddipet","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2018,4
8026,MD - Pathology,Telangana,"Nizams Institute of Medical Sciences, Hyderabad","Nizams Institute of Medical Sciences (Deemed University), Hyderabad",Govt.,,8
8027,MD - Pathology,Telangana,"Mallareddy Medical College for Women, Hyderabad",Dr. YSR University of Health Sciences,Society,2013,9
8028,MS - Obstetrics and Gynaecology,Telangana,"Rajiv Gandhi Institute of Medical Sciences, adilabad",Dr. YSR University of Health Sciences,Govt.,2008,2
8029,DM - Clinical Pharmacology,Telangana,"Nizams Institute of Medical Sciences, Hyderabad","Nizams Institute of Medical Sciences (Deemed University), Hyderabad",Govt.,,4
8030,DM - Rheumatology/Clinical Immunology & Rheumatology,Telangana,"Nizams Institute of Medical Sciences, Hyderabad","Nizams Institute of Medical Sciences (Deemed University), Hyderabad",Govt.,,4
8031,MS - Obstetrics & Gynaecology,Telangana,"Kakatiya Medical College, Warangal","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1959,19
8032,MD - Respiratory Medicine,Telangana,"Dr. VRK Womens Medical College, Aziznagar",Dr. YSR University of Health Sciences,Trust,2010,1
8033,MD - Anaesthesiology,Telangana,"Government Medical College, Siddipet","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2018,6
8034,M.B.B.S.,Telangana,"Deccan College of Medical Sciences, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1985,150
8035,MD - Anaesthesiology,Telangana,"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2016,4
8036,MS - General Surgery,Telangana,"Kamineni Institute of Medical Sciences, Narketpally","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,10
8037,MS - Orthopaedics,Telangana,"Kamineni Institute of Medical Sciences, Narketpally","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,7
8038,"MD - Dermatology , Venereology & Leprosy",Telangana,"Government Medical College, Siddipet","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2018,3
8039,MD - Bio-Chemistry,Telangana,"Mamata Medical College, Khammam","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1998,2
8040,MD - Pharmacology,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,15
8041,MS - General Surgery,Telangana,"Mahavir Institute of Medical Sciences, Vikarabad, Telengana",Dr. YSR University of Health Sciences,Trust,2016,2
8042,MD - Bio-Chemistry,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,16
8043,MD - Social & Preventive Medicine / Community Medicine,Telangana,"Kamineni Institute of Medical Sciences, Narketpally","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,3
8044,M.Ch - Urology/Genito-Urinary Surgery,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,4
